Invoice ID,City,Customer type,Gender,Product line,Date,Payment,gross income,Rating
750-67-8428,Yangon,Member,Female,Health and beauty,2019-01-05,Ewallet,26.1415,9.1
226-31-3081,Naypyidaw,Normal,Female,Electronic accessories,2019-03-08,Cash,3.82,9.6
631-41-3108,Yangon,Normal,Male,Home and lifestyle,2019-03-03,Credit card,16.2155,7.4
123-19-1176,Yangon,Member,Male,Health and beauty,2019-01-27,Ewallet,23.288,8.4
373-73-7910,Yangon,Normal,Male,Sports and travel,2019-02-08,Ewallet,30.2085,5.3
699-14-3026,Naypyidaw,Normal,Male,Electronic accessories,2019-03-25,Ewallet,29.8865,4.1
355-53-5943,Yangon,Member,Female,Electronic accessories,2019-02-25,Ewallet,20.652,5.8
315-22-5665,Naypyidaw,Normal,Female,Home and lifestyle,2019-02-24,Ewallet,36.78,8.0
665-32-9167,Yangon,Member,Female,Health and beauty,2019-01-10,Credit card,3.626,7.2
692-92-5582,Mandalay,Member,Female,Food and beverages,2019-02-20,Credit card,8.226,5.9
351-62-0822,Mandalay,Member,Female,Fashion accessories,2019-02-06,Ewallet,2.896,4.5
529-56-3974,Mandalay,Member,Male,Electronic accessories,2019-03-09,Cash,5.102,6.8
365-64-0515,Yangon,Normal,Female,Electronic accessories,2019-02-12,Ewallet,11.7375,7.1
252-56-2699,Yangon,Normal,Male,Food and beverages,2019-02-07,Ewallet,21.595,8.2
829-34-3910,Yangon,Normal,Female,Health and beauty,2019-03-29,Cash,35.69,5.7
299-46-1805,Mandalay,Member,Female,Sports and travel,2019-01-15,Cash,28.116,4.5
656-95-9349,Yangon,Member,Female,Health and beauty,2019-03-11,Credit card,24.1255,4.6
765-26-6951,Yangon,Normal,Male,Sports and travel,2019-01-01,Credit card,21.783,6.9
329-62-1586,Yangon,Normal,Male,Food and beverages,2019-01-21,Credit card,8.2005,8.6
319-50-3348,Mandalay,Normal,Female,Home and lifestyle,2019-03-11,Ewallet,4.03,4.4
300-71-4605,Naypyidaw,Member,Male,Electronic accessories,2019-02-25,Ewallet,21.51,4.8
371-85-5789,Mandalay,Normal,Male,Health and beauty,2019-03-05,Ewallet,13.197,5.1
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,2019-03-15,Credit card,3.32,4.4
636-48-8204,Yangon,Normal,Male,Electronic accessories,2019-02-17,Ewallet,8.64,9.9
549-59-1358,Yangon,Member,Male,Sports and travel,2019-03-02,Ewallet,13.2945,6.0
227-03-5010,Yangon,Member,Female,Home and lifestyle,2019-03-22,Credit card,21.036,8.5
649-29-6775,Mandalay,Normal,Male,Fashion accessories,2019-02-08,Cash,1.676,6.7
189-17-4241,Yangon,Normal,Female,Fashion accessories,2019-03-10,Credit card,8.767,7.7
145-94-9061,Mandalay,Normal,Female,Food and beverages,2019-01-25,Cash,22.09,9.6
848-62-7243,Yangon,Normal,Male,Health and beauty,2019-03-15,Cash,11.2005,7.4
871-79-8483,Mandalay,Normal,Male,Fashion accessories,2019-02-25,Credit card,23.5325,4.8
149-71-6266,Mandalay,Member,Male,Sports and travel,2019-01-28,Cash,35.1315,4.5
640-49-2076,Mandalay,Normal,Male,Sports and travel,2019-01-10,Cash,33.512,5.1
595-11-5460,Yangon,Normal,Male,Health and beauty,2019-03-15,Credit card,9.658,5.1
183-56-6882,Naypyidaw,Member,Female,Food and beverages,2019-02-06,Ewallet,19.884,7.5
232-16-2483,Naypyidaw,Member,Female,Sports and travel,2019-01-07,Ewallet,3.406,6.8
129-29-8530,Yangon,Member,Male,Sports and travel,2019-03-10,Ewallet,15.655,7.0
272-65-1806,Yangon,Normal,Female,Electronic accessories,2019-01-15,Ewallet,27.396,4.7
333-73-7901,Naypyidaw,Normal,Female,Health and beauty,2019-03-23,Ewallet,21.968,7.6
777-82-7220,Mandalay,Member,Male,Home and lifestyle,2019-03-03,Cash,12.048,7.7
280-35-5823,Mandalay,Member,Female,Home and lifestyle,2019-01-17,Ewallet,4.336,7.9
